month,year,Chrome,IE,Firefox,Safari,Opera,Mozilla,Netscape,AOL
January,2017,0.7370,0.0490,0.1540,0.0360,0.0100,0.0000,0.0000,0.0000
December,2016,0.7370,0.0480,0.1550,0.0350,0.0110,0.0000,0.0000,0.0000
November,2016,0.7380,0.0520,0.1530,0.0350,0.0110,0.0000,0.0000,0.0000
October,2016,0.7300,0.0520,0.1570,0.0360,0.0110,0.0000,0.0000,0.0000
September,2016,0.7250,0.0530,0.1630,0.0350,0.0100,0.0000,0.0000,0.0000
August,2016,0.7240,0.0520,0.1680,0.0320,0.0110,0.0000,0.0000,0.0000
July,2016,0.7190,0.0520,0.1710,0.0320,0.0110,0.0000,0.0000,0.0000
June,2016,0.7170,0.0560,0.1700,0.0330,0.0110,0.0000,0.0000,0.0000
May,2016,0.7140,0.0570,0.1690,0.0360,0.0120,0.0000,0.0000,0.0000
April,2016,0.7040,0.0580,0.1750,0.0370,0.0130,0.0000,0.0000,0.0000
March,2016,0.6990,0.0610,0.1780,0.0360,0.0130,0.0000,0.0000,0.0000
February,2016,0.6900,0.0620,0.1860,0.0370,0.0130,0.0000,0.0000,0.0000
January,2016,0.6840,0.0620,0.1880,0.0370,0.0140,0.0000,0.0000,0.0000
December,2015,0.6800,0.0630,0.1910,0.0370,0.0150,0.0000,0.0000,0.0000
November,2015,0.6740,0.0680,0.1920,0.0390,0.0150,0.0000,0.0000,0.0000
October,2015,0.6650,0.0690,0.2000,0.0380,0.0140,0.0000,0.0000,0.0000
September,2015,0.6590,0.0720,0.2060,0.0360,0.0140,0.0000,0.0000,0.0000
August,2015,0.6400,0.0660,0.2120,0.0450,0.0220,0.0000,0.0000,0.0000
July,2015,0.6330,0.0650,0.2160,0.0490,0.0250,0.0000,0.0000,0.0000
June,2015,0.6480,0.0710,0.2130,0.0380,0.0180,0.0000,0.0000,0.0000
May,2015,0.6490,0.0710,0.2150,0.0380,0.0160,0.0000,0.0000,0.0000
April,2015,0.6390,0.0800,0.2160,0.0380,0.0150,0.0000,0.0000,0.0000
March,2015,0.6370,0.0770,0.2210,0.0390,0.0150,0.0000,0.0000,0.0000
February,2015,0.6250,0.0800,0.2290,0.0390,0.0150,0.0000,0.0000,0.0000
January,2015,0.6190,0.0780,0.2340,0.0380,0.0160,0.0000,0.0000,0.0000
December,2014,0.6160,0.0800,0.2360,0.0370,0.0160,0.0000,0.0000,0.0000
November,2014,0.6010,0.0980,0.2340,0.0370,0.0160,0.0000,0.0000,0.0000
October,2014,0.6040,0.0950,0.2340,0.0390,0.0160,0.0000,0.0000,0.0000
