month,year,Win10,Win8,Win7,Vista,NT,WinXP,Linux,Mac,Chrome OS,Mobile,W2000,W2003,Win98,Win95
January,2017,0.317,0.107,0.338,0.002,0,0.01,0.057,0.103,0.002,0.063,0,0,0,0
December,2016,0.309,0.111,0.346,0.002,0,0.01,0.056,0.098,0.003,0.064,0,0,0,0
November,2016,0.302,0.11,0.355,0.002,0,0.011,0.056,0.103,0.002,0.059,0,0,0,0
October,2016,0.296,0.111,0.355,0.002,0,0.012,0.057,0.107,0.002,0.058,0,0,0,0
September,2016,0.28,0.114,0.37,0.002,0,0.013,0.058,0.102,0.002,0.057,0,0,0,0
August,2016,0.268,0.12,0.381,0.002,0.001,0.015,0.063,0.098,0.001,0.055,0,0,0,0
July,2016,0.254,0.124,0.387,0.003,0.001,0.016,0.061,0.097,0.001,0.056,0,0,0,0
June,2016,0.24,0.13,0.398,0.003,0.001,0.015,0.06,0.1,0.001,0.053,0,0,0,0
May,2016,0.226,0.136,0.407,0.003,0.001,0.016,0.056,0.102,0.002,0.052,0,0,0,0
April,2016,0.212,0.141,0.412,0.004,0.001,0.017,0.055,0.106,0.002,0.051,0,0,0,0
March,2016,0.195,0.147,0.424,0.004,0.001,0.019,0.055,0.103,0.002,0.051,0,0,0,0
February,2016,0.178,0.152,0.431,0.004,0.001,0.021,0.056,0.104,0.002,0.052,0,0,0,0
January,2016,0.17,0.158,0.432,0.004,0.001,0.022,0.057,0.102,0.002,0.054,0,0,0,0
December,2015,0.155,0.163,0.445,0.004,0.001,0.023,0.056,0.099,0,0.053,0,0,0,0
November,2015,0.141,0.169,0.452,0.005,0.001,0.022,0.054,0.106,0,0.05,0,0,0,0
October,2015,0.126,0.173,0.462,0.005,0.001,0.024,0.054,0.104,0,0.05,0,0,0,0
September,2015,0.106,0.18,0.476,0.005,0.001,0.027,0.056,0.1,0,0.05,0,0,0,0
August,2015,0.035,0.194,0.472,0.012,0.003,0.036,0.054,0.109,0,0.05,0,0,0,0
July,2015,0,0.231,0.486,0.014,0.001,0.04,0.056,0.114,0,0.05,0,0,0,0
June,2015,0,0.233,0.507,0.007,0.001,0.034,0.059,0.099,0,0.054,0,0,0,0
May,2015,0,0.235,0.511,0.007,0.001,0.033,0.055,0.102,0,0.054,0,0,0,0
April,2015,0,0.228,0.521,0.007,0.001,0.036,0.052,0.102,0,0.05,0,0,0,0
March,2015,0,0.222,0.523,0.007,0.001,0.041,0.053,0.101,0,0.05,0,0,0,0
February,2015,0,0.213,0.525,0.008,0.001,0.045,0.054,0.101,0,0.05,0,0,0,0
January,2015,0,0.21,0.528,0.008,0.001,0.047,0.055,0.098,0,0.05,0,0,0,0
December,2014,0,0.205,0.538,0.008,0.002,0.049,0.054,0.095,0,0.048,0,0,0,0
November,2014,0,0.197,0.546,0.01,0.002,0.049,0.054,0.096,0,0.045,0,0,0,0
October,2014,0,0.192,0.546,0.01,0.002,0.051,0.054,0.103,0,0.043,0,0,0,0
September,2014,0,0.181,0.555,0.01,0.002,0.059,0.055,0.096,0,0.043,0,0,0,0
August,2014,0,0.181,0.542,0.01,0.002,0.065,0.056,0.097,0,0.049,0,0,0,0
July,2014,0,0.173,0.548,0.01,0.002,0.07,0.056,0.095,0,0.046,0,0,0,0
June,2014,0,0.17,0.553,0.011,0.002,0.071,0.053,0.096,0,0.043,0,0,0,0
May,2014,0,0.166,0.552,0.012,0.002,0.073,0.051,0.1,0,0.042,0,0,0,0
April,2014,0,0.158,0.554,0.012,0.002,0.08,0.05,0.103,0,0.04,0,0,0,0
March,2014,0,0.15,0.551,0.013,0.002,0.094,0.049,0.099,0,0.04,0,0,0,0
February,2014,0,0.142,0.55,0.014,0.003,0.101,0.05,0.1,0,0.04,0,0,0,0
January,2014,0,0.134,0.553,0.015,0.003,0.11,0.049,0.096,0,0.04,0,0,0,0
December,2013,0,0.1,0.559,0.015,0.031,0.116,0.048,0.092,0,0.038,0,0,0,0
